MuncipalityID;Name;CountyID;NumberOfVotes;VotesForKO;VotesForLEW;VotesForTD;VotesForKONF;VotesForPIS;VotesForBS
41104;gm. Osięciny;41100;1640;346;92;213;195;772;15
41105;gm. Piotrków Kujawski;41100;1991;500;80;149;236;993;16
41106;gm. Radziejów;41100;990;235;22;132;139;440;12
41107;gm. Topólka;41100;1157;310;38;122;116;551;10
41201;m. Rypin;41200;4009;1804;129;322;276;1438;25
41202;gm. Brzuze;41200;1142;308;38;112;142;521;11
41203;gm. Rogowo;41200;919;168;24;154;102;462;6
41204;gm. Rypin;41200;1377;330;35;236;181;581;6
41205;gm. Skrwilno;41200;1154;208;26;146;150;614;6
41206;gm. Wąpielsk;41200;731;133;18;105;93;373;5
41301;gm. Kamień Krajeński;41300;1509;599;37;97;242;494;21
41302;gm. Sępólno Krajeńskie;41300;3771;1840;100;181;364;1239;29
41303;gm. Sośno;41300;1005;316;20;59;140;447;12
41304;gm. Więcbork;41300;2975;1250;67;164;325;1130;28
41401;gm. Bukowiec;41400;980;262;17;56;183;443;14
41402;gm. Dragacz;41400;1589;652;74;124;205;504;18
41403;gm. Drzycim;41400;1057;324;19;70;131;490;14
41404;gm. Jeżewo;41400;1592;526;50;126;201;657;21
41405;gm. Lniano;41400;900;257;19;92;123;393;7
41406;gm. Nowe;41400;1925;837;46;146;182;656;24
41407;gm. Osie;41400;1346;523;49;152;160;441;15
41408;gm. Pruszcz;41400;2398;810;69;246;371;835;29
41409;gm. Świecie;41400;8223;4125;280;524;753;2419;84
41410;gm. Świekatowo;41400;920;304;32;80;149;332;11
41411;gm. Warlubie;41400;1141;323;40;120;149;463;14
41501;m. Chełmża;41500;3134;1325;191;168;317;1086;38
41502;gm. Chełmża;41500;2058;580;73;183;307;873;27
41503;gm. Czernikowo;41500;1729;632;57;111;215;681;20
41504;gm. Lubicz;41500;5934;2719;168;426;795;1747;38
41505;gm. Łubianka;41500;2086;848;66;194;318;616;29
41506;gm. Łysomice;41500;3053;1436;110;244;407;808;35
41507;gm. Obrowo;41500;5462;2445;193;386;734;1624;38
41508;gm. Wielka Nieszawka;41500;1709;929;66;94;178;421;13
41509;gm. Zławieś Wielka;41500;4335;2127;178;295;550;1120;42
41601;gm. Cekcyn;41600;1668;574;49;172;204;635;26
41602;gm. Gostycyn;41600;1160;356;28;96;185;471;17
41603;gm. Kęsowo;41600;1060;249;26;105;143;517;11
41604;gm. Lubiewo;41600;1410;436;34;151;158;610;16
41605;gm. Śliwice;41600;1664;456;61;188;164;761;15
41606;gm. Tuchola;41600;5121;2054;131;419;517;1928;44
41701;m. Wąbrzeźno;41700;3198;1384;116;597;276;788;25
41702;gm. Dębowa Łąka;41700;602;83;13;141;110;245;5
41703;gm. Książki;41700;881;176;18;146;164;357;8
41704;gm. Płużnica;41700;1077;165;18;324;143;405;12
41705;gm. Ryńsk;41700;1709;351;52;342;291;649;14
41801;m. Kowal;41800;920;315;75;82;87;344;12
41802;gm. Baruchowo;41800;800;154;40;87;112;395;7
41803;gm. Boniewo;41800;751;119;37;126;106;356;6
41804;gm. Brześć Kujawski;41800;2936;1009;291;250;371;975;30
41805;gm. Choceń;41800;1512;417;70;172;156;676;11
41806;gm. Chodecz;41800;1088;243;73;141;160;456;8
41807;gm. Fabianki;41800;2368;985;158;297;206;685;23
41808;gm. Izbica Kujawska;41800;1487;234;57;188;156;837;8
41809;gm. Kowal;41800;860;186;40;105;124;393;7
41810;gm. Lubanie;41800;1099;243;46;109;134;553;7
41811;gm. Lubień Kujawski;41800;1321;274;69;107;202;650;13
41812;gm. Lubraniec;41800;2137;548;111;234;257;968;9
41813;gm. Włocławek;41800;1927;664;170;276;169;624;13
41901;gm. Barcin;41900;3315;1677;115;239;331;877;51
41902;gm. Gąsawa;41900;1367;474;34;126;149;563;13
41903;gm. Janowiec Wielkopolski;41900;2037;748;64;118;240;835;17
41904;gm. Łabiszyn;41900;2410;1016;67;146;291;843;24
41905;gm. Rogowo;41900;1753;701;34;120;179;689;14
41906;gm. Żnin;41900;6191;2537;195;312;773;2310;39
46101;Bydgoszcz;46100;106963;56776;5617;6587;9179;27576;817
46201;Grudziądz;46200;22773;11383;1189;2023;1827;6059;148
46301;Toruń;46300;64534;35297;3179;3211;5706;16402;489
46401;Włocławek;46400;28262;13160;3925;966;2106;7833;183
60101;m. Międzyrzec Podlaski;60100;4836;1079;114;251;776;2546;55
60102;m. Terespol;60100;1672;508;56;77;214;793;21
60103;gm. Biała Podlaska;60100;4218;1122;71;240;651;2066;54
60104;gm. Drelów;60100;1226;146;18;82;266;701;10
60105;gm. Janów Podlaski;60100;1322;336;23;83;199;655;18
60106;gm. Kodeń;60100;1018;212;46;86;142;522;7
60107;gm. Konstantynów;60100;1092;161;25;95;163;630;12
60108;gm. Leśna Podlaska;60100;1119;173;23;64;171;667;19
60109;gm. Łomazy;60100;1415;223;35;108;234;794;17
60110;gm. Międzyrzec Podlaski;60100;2850;242;39;183;576;1774;33
60111;gm. Piszczac;60100;1655;291;23;85;220;1014;14
60112;gm. Rokitno;60100;754;111;25;62;114;430;9
60113;gm. Rossosz;60100;770;101;24;55;127;452;8
60114;gm. Sławatycze;60100;679;147;18;77;76;353;4
60115;gm. Sosnówka;60100;671;75;25;117;119;325;6
60116;gm. Terespol;60100;1727;314;39;106;271;969;21
60117;gm. Tuczna;60100;756;103;13;52;125;453;10
60118;gm. Wisznice;60100;1378;228;146;127;168;698;7
60119;gm. Zalesie;60100;1005;194;20;88;120;571;10
60201;m. Biłgoraj;60200;8281;2349;165;1131;1158;3408;45
60202;gm. Aleksandrów;60200;904;79;10;72;170;570;2
60203;gm. Biłgoraj;60200;3880;338;46;643;705;2098;33
60204;gm. Biszcza;60200;1021;101;29;102;166;614;8
60205;gm. Frampol;60200;1702;204;22;184;340;943;7
60206;gm. Goraj;60200;1141;98;11;73;289;655;11
60207;gm. Józefów;60200;1800;445;46;115;276;888;23
60208;gm. Księżpol;60200;1924;345;32;127;364;1029;20
60209;gm. Łukowa;60200;1104;124;6;74;249;645;3
60210;gm. Obsza;60200;1159;99;23;80;246;702;6
60211;gm. Potok Górny;60200;1562;96;95;112;218;1027;13
60212;gm. Tarnogród;60200;2001;331;38;140;352;1114;18
